,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AmortizationOfDeferredCharges,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtInstrumentFaceAmount,DebtInstrumentIncreaseDecreaseForPeriodNet,DebtInstrumentIncreaseDecreaseOtherNet,DeferredOfferingCosts,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EquityMethodInvestmentOwnershipPercentage,GeneralAndAdministrativeExpense,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeferredCharges,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDeferredLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseDebt,InterestPaidNet,InterestPayableCurrent,InvestmentOwnedBalanceShares,Liabilities,LiabilitiesAndStockholdersEquity,LoansPayable,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OtherSignificantNoncashTransactionValueOfConsiderationGiven1,PaymentOfFinancingAndStockIssuanceCosts,PaymentsOfStockIssuanceCosts,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromOtherDebt,ProceedsFromRelatedPartyDebt,RepaymentsOfDebt,RetainedEarningsAccumulatedDeficit,Revenues,SellingGeneralAndAdministrativeExpense,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,IncreaseDecreaseInOperatingLiabilities,OtherLiabilitiesCurrent,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,SharesIssuedPricePerShare,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,GainsLossesOnExtinguishmentOfDebt,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncreaseDecreaseInOtherCurrentLiabilities,OtherNonoperatingIncomeExpense,DebtInstrumentDecreaseForgiveness,LeaseAndRentalExpense,OtherSignificantNoncashTransactionValueOfConsiderationReceived1,AccountsReceivableNetCurrent,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AdvertisingExpense,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivable,BusinessAcquisitionsProFormaNetIncomeLoss,BusinessAcquisitionsProFormaRevenue,BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesOther,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,CashFDICInsuredAmount,CostOfGoodsAndServicesSold,DeferredRevenue,GrossProfit,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInInventories,InventoryFinishedGoods,InventoryNet,IssuanceOfStockAndWarrantsForServicesOrClaims,ProceedsFromPaymentsForOtherFinancingActivities,ProfessionalFees,RepaymentsOfRelatedPartyDebt,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueIssuedForServices,y
0,0,0.0,2520.0,8015.0,8015.0,0.0,1900.0,20629.0,0.0,0.0,0.0,2624.0,0.0,0.0001,75000000.0,2800000.0,2800000.0,280.0,0.0,0.0,760.0,8251.0,298.0,1900.0,0.0,189.0,189.0,0.0,7051.0,0.0,0.0,0.21,-0.21,0.0,0.513,900.0,0.0,0.0,1750.0,0.0,6115.0,189.0,-1900.0,0.0,0.0,450.0,450.0,0.0,0.0,2800000.0,0.0,1900.0,760.0,760.0,2800.0,0.0,-2800.0,-900.0,0.0,7682.0,-900.0,0.0,0.0,1900.0,4279.0,2800.0,760.0,0.0,1200.0,0.0,0.0,-900.0,0.0,7682.0,0.0,0.0,2700.0,2800.0,1970370.0,0.0,0.0,0.0001,5000000.0,0.0,0.0,0.0,0.0,1.0,20629.0,0.0,-18246.0,0.0,0.0,10393.0,0.0,0.0,7761.0,4528.0,0.0,225.0,0.0,89826.0,32337.0,0.0,8793.0,8870.0,1014.0,-1091.0,250000.0,65.0,0.0,214.0,279.0,734.0,12278.0,12278.0,4050.0,0.0,4275.0,0.0,2284556.0,34371100.0,4050.0,0
1,0,5000.0,2520.0,0.0,0.0,0.0,1900.0,6314.0,0.0,0.0,0.0,22874.0,0.0,0.0001,75000000.0,2800000.0,2800000.0,280.0,0.0,0.0,760.0,8251.0,298.0,1900.0,0.0,1802.0,1802.0,0.0,7051.0,0.0,0.0,0.21,-0.21,0.0,0.513,0.0,0.0,0.0,,5000.0,,1613.0,-6115.0,5000.0,0.0,450.0,450.0,0.0,450.0,2800000.0,0.0,1900.0,8713.0,8713.0,6115.0,0.0,-6115.0,0.0,7050.0,5578.0,0.0,8251.0,6115.0,6115.0,4279.0,2700.0,1200.0,760.0,,6115.0,298.0,-900.0,0.0,5578.0,1900.0,2800000.0,,-1091.0,2800000.0,625.0,0.0,0.0001,5000000.0,0.0,0.0,0.0,0.0,1.0,20629.0,,-12668.0,404.0,,,138.0,10393.0,3849.0,,25562.0,0.0,0.0,,,,,,,,,4746.0,0.0,27591.0,-3912.0,1785.0,14063.0,14063.0,0.0,8793.0,6000.0,17952.0,,,,0
2,0,,2520.0,10393.0,,0.0,1900.0,6314.0,0.0,0.0,,-18246.0,0.0,0.0001,75000000.0,2800000.0,2800000.0,280.0,,,,8251.0,298.0,1900.0,,,,0.0,7051.0,,,,,,0.513,,,,0.0,,,,0.0,450.0,0.0,450.0,450.0,,450.0,2800000.0,0.0,1900.0,8713.0,8713.0,,0.0,,0.0,7050.0,18246.0,,,,6115.0,4279.0,,,,,,,-900.0,,18246.0,1900.0,2800000.0,23915.0,,,,625.0,0.0001,5000000.0,0.0,0.0,0.0,0.0,1.0,20629.0,0.0,-21455.0,,0.0,,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,1750,,2520.0,,,0.0,1900.0,6314.0,2624.0,0.0,2624.0,,0.0,0.0001,75000000.0,2800000.0,2800000.0,280.0,0.0,0.0,7051.0,8251.0,,1900.0,0.0,7180.0,7180.0,0.0,8251.0,0.0,0.0,0.21,-0.21,0.0,0.513,1926.0,0.0,0.0,0.0,,,5378.0,0.0,,0.0,450.0,450.0,0.0,450.0,2800000.0,0.0,1900.0,8713.0,8713.0,2800.0,0.0,-176.0,0.0,7050.0,12668.0,-1926.0,0.0,6115.0,,4279.0,26615.0,0.0,760.0,,6215.0,0.0,-900.0,0.0,12668.0,1900.0,2800000.0,,,2851833.0,,404.0,0.0001,5000000.0,0.0,0.0,0.0,0.0,1.0,2383.0,,-3209.0,,,,252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,760,,,,,0.0,8015.0,,22874.0,,22874.0,-20255.0,0.0,,,,,,,,7050.0,,298.0,8015.0,,,,6115.0,,,,,,,,,,,0.0,,,,,0.0,4279.0,,,,450.0,,6115.0,8015.0,,8713.0,,0.0,,,7050.0,21455.0,,,,0.0,,,,0.0,,,,,,21455.0,1900.0,2800000.0,26615.0,,,,,0.001,5000000.0,100000.0,100000.0,10.0,100000.0,,374.0,0.0,-25610.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,7051,,2493.0,,,300000.0,7939.0,71107.0,20629.0,,20629.0,,,0.0001,75000000.0,3070000.0,3070000.0,307.0,0.0,0.0,7050.0,,,5315.0,0.0,24654.0,24654.0,6215.0,,,0.0,0.21,-0.21,0.0,,,,0.0,,,,17474.0,,0.0,,,,0.0,,,7965.0,7939.0,8713.0,,27661.0,0.0,-4787.0,,,3209.0,,,6115.0,,0.0,26615.0,,0.0,,6401.0,,-2826.0,,3209.0,,,26615.0,,2903667.0,,,0.001,,100000.0,100000.0,10.0,100000.0,1.0,2035.0,8713.0,-31616.0,,8713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,760,,20854.0,,,,22874.0,24456.0,20629.0,,,-18594.0,,0.0001,75000000.0,5461500.0,5461500.0,546.0,,,7050.0,,,0.0,,,,6401.0,,,,,,,,,,,0.0,,,,,,-4279.0,,,,,,7161.0,22874.0,0.0,,,,,-1926.0,,25610.0,,,,,0.0,,,7050.0,,,,-5687.0,,25610.0,,100000.0,,,,,,,5000000.0,100000.0,100000.0,10.0,,,2035.0,8713.0,-17527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7,760,,20854.0,,,300000.0,20629.0,16253.0,20629.0,,-578.0,94099.0,,0.0001,75000000.0,5461500.0,5461500.0,546.0,,,7050.0,,,,,,,760.0,,0.0,,,,,,4787.0,0.0,0.0,0.0,,,,,,,,,0.0,450.0,,7811.0,20629.0,0.0,0.0,28311.0,,-7682.0,,7050.0,,-4787.0,,0.0,,0.0,0.0,,,,7051.0,,-8582.0,0.0,,,100000.0,26615.0,,3257997.0,,,0.0001,,100000.0,100000.0,10.0,,,2035.0,,-79500.0,,8713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
8,760,,,,,420000.0,20629.0,31608.0,20051.0,2624.0,94099.0,22421.0,,,,,,,,,,,,0.0,,,,7051.0,,,,,,,,,,,4718.0,,,,,,-4279.0,,,,,,7811.0,20629.0,,,,,,,,40329.0,,,,,,,,,,0.0,,-8582.0,,40329.0,,,28000.0,,,,,0.0001,,,,,100000.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9,760,,,,,,,27376.0,2383.0,,,14218.0,,,,,,,,,,,,,,,,7051.0,,0.0,,,,,,7682.0,0.0,0.0,0.0,,,,,,0.0,,,0.0,,,,,,,0.0,,-18246.0,,,26240.0,-7682.0,,,,,,,,,1200.0,,,0.0,26240.0,,,28000.0,,5461500.0,,,,,140000.0,140000.0,14.0,40000.0,,71107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
